english	greek
gripped in both hands his reins, and tying them to his body pulled them backward as the sailor pulls his oar; but the horses gnashed the forged bits between their teeth and bore him wildly on, regardless of their master’s guiding hand	πολὺς ξυνοικῶν ἥρπασ’ ἡνίας χεροῖν, ἕλκει δὲ κώπην ὥστε ναυβάτης ἀνὴρ ἱμᾶσιν ἐς τοὔπισθεν ἀρτήσας δέμας· αἳ δ’ ἐνδακοῦσαι στόμια πυριγενῆ γναθμοῖς βίᾳ φέρουσιν, οὔτε ναυκλήρου χερὸς
or rein or jointed car. And oft as he would take the guiding rein and steer for softer ground, showed that bull in front to turn him back again, maddening his team with terror;	οὔθ’ ἱπποδέσμων οὔτε κολλητῶν ὄχων μεταστρέφουσαι. κεἰ μὲν ἐς τὰ μαλθακὰ γαίας ἔχων οἴακας εὐθύνοι δρόμον, προυφαίνετ’ ἐς τὸ πρόσθεν, ὥστ’ ἀναστρέφειν, ταῦρος, φόβῳ τέτρωρον ἐκμαίνων ὄχον·
but if in their frantic career they ran towards the rocks, he would draw nigh the chariot-rail, keeping up with them, until, suddenly dashing the wheel against a stone, he upset and wrecked the car; then was dire confusion,	εἰ δ’ ἐς πέτρας φέροιντο μαργῶσαι φρένας, σιγῇ πελάζων ἄντυγι ξυνείπετο ἐς τοῦθ’ ἕως ἔσφηλε κἀνεχαίτισεν, ἁψῖδα πέτρῳ προσβαλὼν ὀχήματος. σύμφυρτα δ’ ἦν ἅπαντα· σύριγγές τ’ ἄνω
axle-boxes and linchpins springing into the air. While he, poor youth, entangled in the reins was dragged along, bound by a stubborn knot, his poor head dashed against the rocks, his flesh all torn, the while he cried out piteously,	τροχῶν ἐπήδων ἀξόνων τ’ ἐνήλατα. αὐτὸς δ’ ὁ τλήμων ἡνίαισιν ἐμπλακεὶς δεσμὸν δυσεξήνυστον ἕλκεται δεθείς, σποδούμενος μὲν πρὸς πέτραις φίλον κάρα θραύων τε σάρκας, δεινὰ δ’ ἐξαυδῶν κλύειν·
Stay, stay, my horses whom my own hand hath fed at the manger, destroy me not utterly. O luckless curse of a father! Will no one come and save me for all my virtue?	Στῆτ’, ὦ φάτναισι ταῖς ἐμαῖς τεθραμμέναι, μή μ’ ἐξαλείψητ’· ὦ πατρὸς τάλαιν’ ἀρά. τίς ἄνδρ’ ἄριστον βούλεται σῶσαι παρών;
Now we, though much we longed to help, were left far behind. At last, I know not how, he broke loose	πολλοὶ δὲ βουληθέντες ὑστέρῳ ποδὶ ἐλειπόμεσθα. χὣ μὲν ἐκ δεσμῶν λυθεὶς
from the shapely reins that bound him, a faint breath of life still in him; but the horses disappeared, and that portentous bull, among the rocky ground, I know not where.	τμητῶν ἱμάντων οὐ κάτοιδ’ ὅτῳ τρόπῳ πίπτει, βραχὺν δὴ βίοτον ἐμπνέων ἔτι· ἵπποι δ’ ἔκρυφθεν καὶ τὸ δύστηνον τέρας ταύρου λεπαίας οὐ κάτοιδ’ ὅποι χθονός.
I am but a slave in thy house, ’tis true, O king,	δοῦλος μὲν οὖν ἔγωγε σῶν δόμων, ἄναξ,
yet will I never believe so monstrous a charge against thy son’s character, no! not though the whole race of womankind should hang itself, or one should fill with writing every pine-tree tablet grown on Ida, sure as I am of his uprightness.	ἀτὰρ τοσοῦτόν γ’ οὐ δυνήσομαί ποτε, τὸν σὸν πιθέσθαι παῖδ’ ὅπως ἐστὶν κακός· οὐδ’ εἰ γυναικῶν πᾶν κρεμασθείη γένος, καὶ τὴν ἐν Ἴδῃ γραμμάτων πλήσειέ τις πεύκην, ἐπεί νιν ἐσθλὸν ὄντ’ ἐπίσταμαι.
Alas! new troubles come to plague us, nor is there any escape from fate and necessity.	αἰαῖ· κέκρανται συμφορὰ νέων κακῶν, οὐδ’ ἔστι μοίρας τοῦ χρεών τ’ ἀπαλλαγή.
My hatred for him who hath thus suffered made me glad at thy tidings, yet from regard for the gods and him, because he is my son,	μίσει μὲν ἀνδρὸς τοῦ πεπονθότος τάδε λόγοισιν ἥσθην τοῖσδε· νῦν δ’ αἰδούμενος θεούς τ’ ἐκεῖνόν θ’, οὕνεκ’ ἐστὶν ἐξ ἐμοῦ,
I feel neither joy nor sorrow at his sufferings.	οὔθ’ ἥδομαι τοῖσδ’ οὔτ’ ἐπάχθομαι κακοῖς.
But say, are we to bring the victim hither, or how are we to fulfil thy wishes? Bethink thee; if by me thou wilt be schooled, thou wilt not harshly treat thy son in his sad plight.	πῶς οὖν; κομίζειν, ἢ τί χρὴ τὸν ἄθλιον δράσαντας ἡμᾶς σῇ χαρίζεσθαι φρενί; φρόντιζ’· ἐμοῖς δὲ χρώμενος βουλεύμασιν οὐκ ὠμὸς ἐς σὸν παῖδα δυστυχοῦντ’ ἔσῃ.
Bring him hither, that when I see him face to face, who hath denied having polluted my wife’s honour, I may by words and heaven’s visitation convict him.	κομίζετ’ αὐτόν, ὡς ἰδὼν ἐν ὄμμασιν τὸν τἄμ’ ἀπαρνηθέντα μὴ χρᾶναι λέχη λόγοις τ’ ἐλέγξω δαιμόνων τε συμφοραῖς.
Ah! Cypris, thine the hand that guides the stubborn hearts of gods and men; thine,	σὺ τὰν θεῶν ἄκαμπτον φρένα καὶ βροτῶν ἄγεις, Κύπρι, σὺν δ’
and that attendant boy’s, who, with painted plumage gay, flutters round his victims on lightning wing. O’er the land and booming deep on golden pinion borne flits the god of Love,	ὁ ποικιλόπτερος ἀμφιβαλὼν ὠκυτάτῳ πτερῷ. ποτᾶται δὲ γαῖαν εὐάχητόν θ’ ἁλμυρὸν ἐπὶ πόντον. θέλγει δ’ Ἔρως, ᾧ μαινομένᾳ κραδίᾳ
maddening the heart and beguiling the senses of all whom he attacks, savage whelps on mountains bred, ocean’s monsters, creatures of this sun-warmed earth,	πτανὸς ἐφορμάσῃ χρυσοφαής, φύσιν ὀρεσκόων σκυλάκων πελαγίων θ’ ὅσα τε γᾶ τρέφει τά τ’ ἀέλιος αἰθόμενα δέρκεται,
and man; thine, O Cypris, thine alone the sovereign power to rule them all.	ἄνδρας τε· συμπάντων βασιληίδα τιμάν, Κύπρι, τῶνδε μόνα κρατύνεις.
Hearken, I bid thee, noble son of Aegeus:	σὲ τὸν εὐπατρίδην Αἰγέως κέλομαι παῖδ’ ἐπακοῦσαι·
lo! ’tis I Latona’s child, that speak, I, Artemis. Why, Theseus, to thy sorrow dost thou rejoice at these tidings, seeing that thou hast slain thy son most impiously, listening to a charge not clearly proved, but falsely sworn to by thy wife? though clearly has the curse therefrom upon thee fallen.	Λητοῦς δὲ κόρη σ’ Ἄρτεμις αὐδῶ. Θησεῦ, τί τάλας τοῖσδε συνήδῃ, παῖδ’ οὐχ ὁσίως σὸν ἀποκτείνας, ψευδέσι μύθοις ἀλόχου πεισθεὶς ἀφανῆ; φανερὰν δ’ ἔσχεθες ἄτην.
Why dost thou not for very shame hide beneath the dark places of the earth, or change thy human life and soar on wings to escape this tribulation? ’Mongst men of honour thou hast 	πῶς οὐχ ὑπὸ γῆς τάρταρα κρύπτεις δέμας αἰσχυνθείς, ἢ πτηνὸς ἄνω μεταβὰς βίοτον πήματος ἔξω πόδα τοῦδ’ ἀνέχεις; ὡς ἔν γ’ ἀγαθοῖς ἀνδράσιν οὔ σοι
now no share in life.	κτητὸν βιότου μέρος ἐστίν.
Hearken, Theseus; I will put thy wretched case. Yet will it naught avail thee, if I do, but vex thy heart; still with this intent I came, to show thy son’s pure heart,—that he may die with honour,—	ἄκουε, Θησεῦ, σῶν κακῶν κατάστασιν· καίτοι προκόψω γ’ οὐδέν, ἀλγυνῶ δέ σε. ἀλλ’ ἐς τόδ’ ἦλθον, παιδὸς ἐκδεῖξαι φρένα τοῦ σοῦ δικαίαν, ὡς ὑπ’ εὐκλείας θάνῃ,
as well the frenzy, and, in a sense, the nobleness of thy wife; for she was cruelly stung with a passion for thy son by that goddess whom all we, that joy in virgin purity, detest. And though she strove to conquer love by resolution,	καὶ σῆς γυναικὸς οἶστρον ἢ τρόπον τινὰ γενναιότητα· τῆς γὰρ ἐχθίστης θεῶν ἡμῖν, ὅσαισι παρθένειος ἡδονή, δηχθεῖσα κέντροις παιδὸς ἠράσθη σέθεν. γνώμῃ δὲ νικᾶν τὴν Κύπριν πειρωμένη
yet by no fault of hers she fell, thanks to her nurse’s strategy, who did reveal her malady unto thy son under oath. But he would none of her counsels, as indeed was right, nor yet, when thou didst revile him, would he break the oath he swore, from piety.	τροφοῦ διώλετ’ οὐχ ἑκοῦσα μηχαναῖς, ἣ σῷ δι’ ὅρκων παιδὶ σημαίνει νόσον. ὃ δ’, ὥσπερ ὢν δίκαιος, οὐκ ἐφέσπετο λόγοισιν, οὐδ’ αὖ πρὸς σέθεν κακούμενος ὅρκων ἀφεῖλε πίστιν, εὐσεβὴς γεγώς.
She meantime, fearful of being found out, wrote a lying letter, destroying by guile thy son, but yet persuading thee.	ἣ δ’ εἰς ἔλεγχον μὴ πέσῃ φοβουμένη ψευδεῖς γραφὰς ἔγραψε καὶ διώλεσεν δόλοισι σὸν παῖδ’· ἀλλ’ ὅμως ἔπεισέ σε.
Woe is me!	οἴμοι.
Doth my story wound thee, Theseus? Be still awhile; hear what follows, so wilt thou have more cause to groan.	δάκνει σε, Θησεῦ, μῦθος; ἀλλ’ ἔχ’ ἥσυχος, τοὐνθένδ’ ἀκούσας ὡς ἂν οἰμώξῃς πλέον.
Dost remember those three prayers thy father granted thee, fraught with certain issue? ’Tis one of these thou hast misused, unnatural wretch, against thy son, instead of aiming it at an enemy. Thy sea-god sire, ’tis true, for all his kind intent, hath granted that boon he was compelled, by reason of his promise, to grant.	ἆρ’ οἶσθα πατρὸς τρεῖς ἀρὰς ἔχων σαφεῖς; ὧν τὴν μίαν παρεῖλες, ὦ κάκιστε σύ, ἐς παῖδα τὸν σόν, ἐξὸν εἰς ἐχθρόν τινα. πατὴρ μὲν οὖν σοι πόντιος φρονῶν καλῶς ἔδωχ’ ὅσονπερ χρῆν, ἐπείπερ ᾔνεσεν·
But thou alike in his eyes and in mine hast shewn thy evil heart, in that thou hast forestalled all proof or voice prophetic, hast made no inquiry, nor taken time for consideration, but with undue haste cursed thy son even to the death.	σὺ δ’ ἔν τ’ ἐκείνῳ κἀν ἐμοὶ φαίνῃ κακός, ὃς οὔτε πίστιν οὔτε μάντεων ὄπα ἔμεινας, οὐκ ἤλεγξας, οὐ χρόνῳ μακρῷ σκέψιν παρέσχες, ἀλλὰ θᾶσσον ἤ σ’ ἐχρῆν ἀρὰς ἀφῆκας παιδὶ καὶ κατέκτανες.
Perdition seize me! Queen revered!	δέσποιν’, ὀλοίμην.
An awful deed was thine, but still even for this thou mayest obtain pardon; for it was Cypris that would have it so, sating the fury of her soul. For this is law amongst us gods; none of us will thwart	δείν’ ἔπραξας, ἀλλ’ ὅμως ἔτ’ ἔστι καί σοι τῶνδε συγγνώμης τυχεῖν· Κύπρις γὰρ ἤθελ’ ὥστε γίγνεσθαι τόδε, πληροῦσα θυμόν. θεοῖσι δ’ ὧδ’ ἔχει νόμος· οὐδεὶς ἀπαντᾶν βούλεται προθυμίᾳ
his neighbour’s will, but ever we stand aloof. For be well assured, did I not fear Zeus, never would I have incurred the bitter shame of handing over to death a man of all his kind to me most dear. As for thy sin,	τῇ τοῦ θέλοντος, ἀλλ’ ἀφιστάμεσθ’ ἀεί. ἐπεί, σάφ’ ἴσθι, Ζῆνα μὴ φοβουμένη οὐκ ἄν ποτ’ ἦλθον ἐς τόδ’ αἰσχύνης ἐγὼ ὥστ’ ἄνδρα πάντων φίλτατον βροτῶν ἐμοὶ θανεῖν ἐᾶσαι. τὴν δὲ σὴν ἁμαρτίαν
first thy ignorance absolves thee from its villainy, next thy wife, who is dead, was lavish in her use of convincing arguments to influence thy mind.	τὸ μὴ εἰδέναι μὲν πρῶτον ἐκλύει κάκης· ἔπειτα δ’ ἡ θανοῦσ’ ἀνήλωσεν γυνὴ λόγων ἐλέγχους ὥστε σὴν πεῖσαι φρένα.
On thee in chief this storm of woe hath burst, yet is it some grief to me as well; for when the righteous die, there is no joy in heaven,	μάλιστα μέν νυν σοὶ τάδ’ ἔρρωγεν κακά, λύπη δὲ κἀμοί· τοὺς γὰρ εὐσεβεῖς θεοὶ
albeit we try to destroy the wicked, house and home.	θνῄσκοντας οὐ χαίρουσι· τούς γε μὴν κακοὺς αὐτοῖς τέκνοισι καὶ δόμοις ἐξόλλυμεν.
Lo! where he comes, this hapless youth, his fair young flesh and auburn locks most shamefully handled. Unhappy house!	καὶ μὴν ὁ τάλας ὅδε δὴ στείχει, σάρκας νεαρὰς ξανθόν τε κάρα διαλυμανθείς. ὦ πόνος οἴκων,
what twofold sorrow doth o’ertake its halls, through heaven’s ordinance!	οἷον ἐκράνθη δίδυμον μελάθροις πένθος θεόθεν καταληπτόν.
Ah! ah! woe is me! foully undone by an impious father’s impious imprecation!	αἰαῖ αἰαῖ· δύστηνος ἐγώ, πατρὸς ἐξ ἀδίκου χρησμοῖς ἀδίκοις διελυμάνθην.
Undone, undone! woe is me! Through my head shoot fearful pains; my brain throbs convulsively. Stop, let me rest my worn-out frame.Oh, oh!	ἀπόλωλα τάλας, οἴμοι μοι. διά μου κεφαλῆς ᾄσσουσ’ ὀδύναι, κατὰ δ’ ἐγκέφαλον πηδᾷ σφάκελος. σχές, ἀπειρηκὸς σῶμ’ ἀναπαύσω.
Accursed steeds, that mine own hand did feed, ye have been my ruin and my death. O by the gods, good sirs, I beseech ye, softly touch my wounded limbs.	ὦ στυγνὸν ὄχημ’ ἵππειον, ἐμῆς βόσκημα χερός, διά μ’ ἔφθειρας, κατὰ δ’ ἔκτεινας. φεῦ φεῦ· πρὸς θεῶν, ἀτρέμας, δμῶες, χροὸς ἑλκώδους ἅπτεσθε χεροῖν.
Who stands there at my right side? Lift me tenderly; with slow and even step conduct a poor wretch cursed by his mistaken sire. Great Zeus, dost thou see this? Me thy reverent worshipper,	τίς ἐφέστηκεν δεξιὰ πλευροῖς; πρόσφορά μ’ αἴρετε, σύντονα δ’ ἕλκετε τὸν κακοδαίμονα καὶ κατάρατον πατρὸς ἀμπλακίαις. Ζεῦ Ζεῦ, τάδ’ ὁρᾷς; ὅδ’ ὁ σεμνὸς ἐγὼ καὶ θεοσέπτωρ,
me who left all men behind in purity, plunged thus into yawning Hades ’neath the earth, reft of life; in vain the toils I have endured through my piety towards mankind.	ὅδ’ ὁ σωφροσύνῃ πάντας ὑπερσχὼν προῦπτον ἐς Ἅιδην στείχω κατ’ ἄκρας ὀλέσας βίοτον· μόχθους δ’ ἄλλως τῆς εὐσεβίας εἰς ἀνθρώπους ἐπόνησα.
Ah me! ah me! O the thrill of anguish shooting through me! Set me down, poor wretch I am; come Death to set me free! Kill me, end my sufferings.	αἰαῖ αἰαῖ· καὶ νῦν ὀδύνα μ’ ὀδύνα βαίνει — μέθετέ με, τάλανες — καί μοι θάνατος Παιὰν ἔλθοι. προσαπόλλυτ’ ἀπόλλυτε τὸν δυσδαί-
O for a sword two-edged to hack my flesh, and close this mortal life! Ill-fated curse of my father! the crimes of bloody kinsmen. ancestors of old,	μονά μ’· ἀμφιτόμου λόγχας ἔραμαι, διαμοιρᾶσαι διά τ’ εὐνᾶσαι τὸν ἐμὸν βίοτον. ὦ πατρὸς ἐμοῦ δύστηνος ἀρά· μιαιφόνων συγγόνων παλαιῶν
now pass their boundaries and tarry not, and upon me are they come all guiltless as I am; ah! why? Alas, alas!	προγεννητόρων ἐξορίζεται κακόν, οὐδὲ μέλλει, ἔμολέ τ’ ἐπ’ ἐμὲ τί ποτε τὸν οὐ- δὲν ὄντ’ ἐπαίτιον κακῶν; ἰώ μοί μοι·
what can I say? How from my life  get rid of this relentless agony? O that the stern Death-god, night’s black visitant, would give my sufferings rest!	— τί φῶ; πῶς ἀπαλλάξω βιοτὰν ἐμὰν τάνδ’ ἀναλ- γήτου πάθους; εἴθε με κοι- μάσειε τὸν δυσδαίμον’ Ἅι- δου μέλαινα νύκτερός τ’ ἀνάγκα.
Poor sufferer! cruel the fate that links thee to it!	ὦ τλῆμον, οἵᾳ συμφορᾷ συνεζύγης·
Thy noble soul hath been thy ruin.	τὸ δ’ εὐγενές σε τῶν φρενῶν ἀπώλεσεν.
Ah! the fragrance from my goddess wafted! Even in my agony I feel thee near and find relief; she is here in this very place, my goddess Artemis.	ἔα· ὦ θεῖον ὀδμῆς πνεῦμα· καὶ γὰρ ἐν κακοῖς ὢν ᾐσθόμην σου κἀνεκουφίσθην δέμας· ἔστ’ ἐν τόποισι τοισίδ’ Ἄρτεμις θεά.
She is, poor sufferer! the goddess thou hast loved the best.	ὦ τλῆμον, ἔστι, σοί γε φιλτάτη θεῶν.
Dost see me, mistress mine? dost see my present suffering?	ὁρᾷς με, δέσποιν’, ὡς ἔχω, τὸν ἄθλιον;
I see thee, but mine eyes no tear may weep.	ὁρῶ· κατ’ ὄσσων δ’ οὐ θέμις βαλεῖν δάκρυ.
Thou hast none now to lead the hunt or tend thy fane.	οὐκ ἔστι σοι κυναγὸς οὐδ’ ὑπηρέτης,
None now; yet e’en in death I love thee still.	οὐ δῆτ’· ἀτάρ μοι προσφιλής γ’ ἀπόλλυσαι.
None to groom thy steeds, or guard thy shrines.	οὐδ’ ἱππονώμας οὐδ’ ἀγαλμάτων φύλαξ.
Twas Cypris, mistress of iniquity, devised this evil.	Κύπρις γὰρ ἡ πανοῦργος ὧδ’ ἐμήσατο.
Ah me! now know I the goddess who destroyed me.	ὤμοι· φρονῶ δὴ δαίμον’ ἥ μ’ ἀπώλεσεν.
She was jealous of her slighted honour, vexed at thy chaste life.	τιμῆς ἐμέμφθη σωφρονοῦντι δ’ ἤχθετο.
Ah! then I see her single hand hath struck down three of us.	τρεῖς ὄντας ἡμᾶς ὤλεσ’, ᾔσθημαι, Κύπρις.
Thy sire and thee, and last thy father’s wife.	πατέρα γε καὶ σὲ καὶ τρίτην ξυνάορον.
My sire’s ill-luck as well as mine I mourn.	ᾤμωξα τοίνυν καὶ πατρὸς δυσπραξίας.
He was deceived by a goddess’s design.	ἐξηπατήθη δαίμονος βουλεύμασιν.
Woe is thee, my father, in this sad mischance!	ὦ δυστάλας σὺ τῆσδε συμφορᾶς, πάτερ.
My son, I am a ruined man; life has no joys for me.	ὄλωλα, τέκνον, οὐδέ μοι χάρις βίου.
For this mistake I mourn thee rather than myself.	στένω σὲ μᾶλλον ἢ ’μὲ τῆς ἁμαρτίας.
O that I had died for thee, my son!	εἰ γὰρ γενοίμην, τέκνον, ἀντὶ σοῦ νεκρός.
Ah! those fatal gifts thy sire Poseidon gave.	ὦ δῶρα πατρὸς σοῦ Ποσειδῶνος πικρά.
Would God these lips had never uttered that prayer!	ὡς μήποτ’ ἐλθεῖν ὤφελ’ ἐς τοὐμὸν στόμα.
Why not? thou wouldst in any case have slain me in thy fury then.	τί δ’; ἔκτανές τἄν μ’, ὡς τότ’ ἦσθ’ ὠργισμένος.
Yes; Heaven had perverted my power to think.	δόξης γὰρ ἦμεν πρὸς θεῶν ἐσφαλμένοι.
O that the race of men could bring a curse upon the gods!	φεῦ· εἴθ’ ἦν ἀραῖον δαίμοσιν βροτῶν γένος.
Enough! for though thou pass to gloom beneath the earth, the wrath of Cypris shall not, at her will, fall on thee unrequited, because thou hadst a noble righteous soul.	ἔασον· οὐ γὰρ οὐδὲ γῆς ὑπὸ ζόφον θεᾶς ἄτιμοι Κύπριδος ἐκ προθυμίας ὀργαὶ κατασκήψουσιν ἐς τὸ σὸν δέμας σῆς εὐσεβείας κἀγαθῆς φρενὸς χάριν.
For I with mine own hand will with these unerring shafts avenge me on another, who is her votary, dearest to her of all the sons of men. And to thee, poor sufferer, for thy anguish now will I grant high honours in the city of Troezen;	ἐγὼ γὰρ αὐτῆς ἄλλον ἐξ ἐμῆς χερὸς ὃς ἂν μάλιστα φίλτατος κυρῇ βροτῶν τόξοις ἀφύκτοις τοῖσδε τιμωρήσομαι. σοὶ δ’, ὦ ταλαίπωρ’, ἀντὶ τῶνδε τῶν κακῶν τιμὰς μεγίστας ἐν πόλει Τροζηνίᾳ
for thee shall maids unwed before their marriage cut off their hair, thy harvest through the long roll of time of countless bitter tears. Yea, and for ever shall the virgin choir hymn thy sad memory,	δώσω· κόραι γὰρ ἄζυγες γάμων πάρος κόμας κεροῦνταί σοι, δι’ αἰῶνος μακροῦ πένθη μέγιστα δακρύων καρπουμένῳ. ἀεὶ δὲ μουσοποιὸς ἐς σὲ παρθένων ἔσται μέριμνα, κοὐκ ἀνώνυμος πεσὼν
nor shall Phaedra’s love for thee fall into oblivion and pass away unnoticed.	ἔρως ὁ Φαίδρας ἐς σὲ σιγηθήσεται.
But thou, O son of old Aegeus, take thy son in thine arms, draw him close to thee, for unwittingly thou slewest him, and men may well commit an error when gods put it in their way.	σὺ δ’, ὦ γεραιοῦ τέκνον Αἰγέως, λαβὲ σὸν παῖδ’ ἐν ἀγκάλαισι καὶ προσέλκυσαι· ἄκων γὰρ ὤλεσάς νιν· ἀνθρώποισι δὲ θεῶν διδόντων εἰκὸς ἐξαμαρτάνειν.
And thee Hippolytus, I admonish; hate not thy sire, for in this death thou dost but meet thy destined fate.	καὶ σοὶ παραινῶ πατέρα μὴ στυγεῖν σέθεν, Ἱππόλυτ’· ἔχεις γὰρ μοῖραν ᾗ διεφθάρης.
And now farewell! ’tis not for me to gaze upon the dead, or pollute my sight with death-scenes, and e’en now I see thee nigh that evil moment.	καὶ χαῖρ’· ἐμοὶ γὰρ οὐ θέμις φθιτοὺς ὁρᾶν οὐδ’ ὄμμα χραίνειν θανασίμοισιν ἐκπνοαῖς· ὁρῶ δέ σ’ ἤδη τοῦδε πλησίον κακοῦ.
Farewell, blest virgin queen! leave me now! How easily thou resignest our long friendship! I am reconciled with my father at thy desire, yea, for ever before I would obey thy bidding.	χαίρουσα καὶ σὺ στεῖχε, παρθέν’ ὀλβία· μακρὰν δὲ λείπεις ῥᾳδίως ὁμιλίαν. λύω δὲ νεῖκος πατρὶ χρῃζούσης σέθεν· καὶ γὰρ πάροιθε σοῖς ἐπειθόμην λόγοις.
Ah me! the darkness is settling even now upon my eyes.	αἰαῖ, κατ’ ὄσσων κιγχάνει μ’ ἤδη σκότος·
Take me, father, in thy arms, lift me up.	λαβοῦ, πάτερ, μου καὶ κατόρθωσον δέμας.
Woe is me, my son! what art thou doing to me thy hapless sire!	οἴμοι, τέκνον, τί δρᾷς με τὸν δυσδαίμονα;
I am a broken man; yes, I see the gates that close upon the dead.	ὄλωλα καὶ δὴ νερτέρων ὁρῶ πύλας.
Canst leave me thus with murder on my soul!	ἦ τὴν ἐμὴν ἄναγνον ἐκλιπὼν χέρα;
No, no; I set thee free from this bloodguiltiness.	οὐ δῆτ’, ἐπεί σε τοῦδ’ ἐλευθερῶ φόνου.
What sayest thou? dost absolve me from bloodshed?	τί φῄς; ἀφίης αἵματός μ’ ἐλεύθερον;
Artemis, the archer-queen, is my witness that I do.	τὴν τοξόδαμνον Ἄρτεμιν μαρτύρομαι.
My own dear child, how generous dost thou show thyself to thy father!	ὦ φίλταθ’, ὡς γενναῖος ἐκφαίνῃ πατρί.
Pray to have children such as me bom in lawful wedlock.	τοιῶνδε παίδων γνησίων εὔχου τυχεῖν.
O that holy, noble soul of thine!	οἴμοι φρενὸς σῆς εὐσεβοῦς τε κἀγαθῆς.
Farewell, dear father! a long farewell to thee!	ὦ χαῖρε καὶ σύ, χαῖρε πολλά μοι, πάτερ.
O leave me not, my son; endure awhile.	μή νυν προδῷς με, τέκνον, ἀλλὰ καρτέρει.
’Tis finished, my endurance; I die, father; quickly cover my face with a mantle.	κεκαρτέρηται τἄμ’· ὄλωλα γάρ, πάτερ. κρύψον δέ μου πρόσωπον ὡς τάχος πέπλοις.
O glorious Athens, realm of Pallas,	ὦ κλείν’ Ἀθῆναι Παλλάδος θ’ ὁρίσματα,
what a splendid hero ye have lost! Ah me, ah me! How oft shall I remember thy evil work, O Cypris!	οἵου στερήσεσθ’ ἀνδρός. ὦ τλήμων ἐγώ· ὡς πολλά, Κύπρι, σῶν κακῶν μεμνήσομαι.
On all our citizens hath come this universal sorrow, unforeseen. Now shall the copious tear gush forth,	κοινὸν τόδ’ ἄχος πᾶσι πολίταις ἦλθεν ἀέλπτως. πολλῶν δακρύων ἔσται πίτυλος·
for sad news about great men takes more than usual hold upon the heart.	τῶν γὰρ μεγάλων ἀξιοπενθεῖς φῆμαι μᾶλλον κατέχουσιν.
My children, latest-born wards of old Cadmus, why do you sit before me like this with wreathed branches of suppliants, while the city reeks with incense,	ὦ τέκνα, Κάδμου τοῦ πάλαι νέα τροφή, τίνας ποθʼ ἕδρας τάσδε μοι θοάζετε ἱκτηρίοις κλάδοισιν ἐξεστεμμένοι; πόλις δʼ ὁμοῦ μὲν θυμιαμάτων γέμει,
rings with prayers for health and cries of woe? I thought it unbefitting, my children, to hear these things from the mouths of others, and have come here myself, I, Oedipus renowned by all. Tell me, then, venerable old man—since it is proper that you	ὁμοῦ δὲ παιάνων τε καὶ στεναγμάτων· ἁγὼ δικαιῶν μὴ παρʼ ἀγγέλων, τέκνα, ἄλλων ἀκούειν αὐτὸς ὧδʼ ἐλήλυθα, ὁ πᾶσι κλεινὸς Οἰδίπους καλούμενος. ἀλλʼ ὦ γεραιέ, φράζʼ, ἐπεὶ πρέπων ἔφυς
speak for these—in what mood you sit here, one of fear or of desire? Be sure that I will gladly give you all my help. I would be hard-hearted indeed if I did not pity such suppliants as these.	πρὸ τῶνδε φωνεῖν, τίνι τρόπῳ καθέστατε, δείσαντες ἢ στέρξαντες; ὡς θέλοντος ἂν ἐμοῦ προσαρκεῖν πᾶν· δυσάλγητος γὰρ ἂν εἴην τοιάνδε μὴ οὐ κατοικτίρων ἕδραν.
Oedipus, ruler of my land, you see the age of those who sit	ἀλλʼ ὦ κρατύνων Οἰδίπους χώρας ἐμῆς,
on your altars—some, nestlings still too tender for flight, others, bowed with age, priests, like me of Zeus, and some, these here, the chosen youth. The rest of the folk sit	ὁρᾷς μὲν ἡμᾶς ἡλίκοι προσήμεθα βωμοῖσι τοῖς σοῖς· οἱ μὲν οὐδέπω μακρὰν πτέσθαι σθένοντες, οἱ δὲ σὺν γήρᾳ βαρεῖς, ἱερῆς, ἐγὼ μὲν Ζηνός, οἵδε τʼ ᾐθέων λεκτοί· τὸ δʼ ἄλλο φῦλον ἐξεστεμμένον
with wreathed branches in the market-place, and before the shrines of Pallas, and where Ismenus gives answer by fire. For the city, as you yourself see, is now sorely vexed, and can no longer lift her head from beneath the angry waves of death.	ἀγοραῖσι θακεῖ πρός τε Παλλάδος διπλοῖς ναοῖς, ἐπʼ Ἰσμηνοῦ τε μαντείᾳ σποδῷ. πόλις γάρ, ὥσπερ καὐτὸς εἰσορᾷς, ἄγαν ἤδη σαλεύει κἀνακουφίσαι κάρα βυθῶν ἔτʼ οὐχ οἵα τε φοινίου σάλου,
A blight has fallen on the fruitful blossoms of the land, the herds among the pastures, the barren pangs of women. And the flaming god, the malign plague, has swooped upon us, and ravages the town: he lays waste to the house of Cadmus, but enriches Hades with	φθίνουσα μὲν κάλυξιν ἐγκάρποις χθονός, φθίνουσα δʼ ἀγέλαις βουνόμοις τόκοισί τε ἀγόνοις γυναικῶν· ἐν δʼ ὁ πυρφόρος θεὸς σκήψας ἐλαύνει, λοιμὸς ἔχθιστος, πόλιν, ὑφʼ οὗ κενοῦται δῶμα Καδμεῖον, μέλας δʼ
